players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Jackson,centre forward,74.5,7.5,0.5,0.5,1.5,3.0,0.0,0.0,1.75,4.75,0.0,1.0,0.25,0.5,0.0,1.75,3.0,0.0,0.0,Senegal
Jakobs,centre back,72.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,Senegal
Jakobs,left back,90.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,Senegal
Koulibaly,centre back,90.0,7.5,0.1,0.1,0.1,0.6,6.5,4.2,0.2,6.2,0.0,2.4,2.4,4.3,1.7,0.5,0.0,0.0,0.0,Senegal
Kouyaté,central midfielder,64.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Senegal
L Camara,central midfielder,74.5,7.0,0.0,0.0,0.0,1.5,4.0,3.0,1.5,4.5,0.0,2.0,2.0,1.0,0.0,0.5,1.0,0.0,0.0,Senegal
Mané,attacking midfielder,78.0,9.0,2.0,0.0,4.0,5.0,2.0,1.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,1.0,0.0,Senegal
Mané,left wing,79.83,7.33,0.5,0.17,1.33,3.0,2.0,1.33,2.83,5.83,0.33,1.17,1.0,0.0,0.0,2.33,4.5,0.0,0.0,Senegal
Mané,right wing,85.0,7.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,Senegal
Mendy,goal keeper,90.0,6.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Senegal
Ndiaye,centre forward,74.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Senegal
Ndiaye,left wing,76.67,7.0,0.0,0.33,0.33,1.67,1.0,0.33,1.0,5.33,0.67,1.33,0.67,0.33,0.33,2.0,3.67,0.0,0.0,Senegal
Ndiaye,right wing,75.0,7.33,0.33,0.0,0.67,2.0,1.0,1.0,2.0,6.67,0.0,2.0,1.0,0.0,0.0,3.0,4.67,0.0,0.0,Senegal
Niakhaté,centre back,90.0,7.44,0.0,0.0,0.0,0.0,6.11,3.67,0.0,5.78,0.0,2.33,2.11,3.78,1.22,0.67,0.11,0.11,0.0,Senegal
P Gueye,central midfielder,83.5,7.5,0.5,0.0,0.5,1.5,5.0,3.5,1.5,7.0,0.0,3.5,2.5,1.0,0.5,1.0,1.0,0.0,0.0,Senegal
P Gueye,defensive midfielder,61.5,7.0,0.0,0.0,0.0,1.0,3.0,1.5,1.0,4.0,0.5,2.0,1.5,1.0,0.0,0.5,0.5,0.0,0.0,Senegal
P Sarr,central midfielder,70.0,7.5,0.67,0.0,1.0,1.67,3.67,2.83,1.17,5.33,0.33,2.5,1.67,0.83,0.0,1.17,1.17,0.0,0.0,Senegal
P Sarr,defensive midfielder,67.5,7.5,0.0,0.0,0.0,1.0,4.0,2.5,1.0,5.0,0.0,2.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,Senegal
P Sarr,left midfielder,90.0,7.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,Senegal
Sabaly,left wing,19.5,7.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Senegal
Sabaly,right wing,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Senegal
Seck,centre back,90.0,7.0,0.0,0.0,0.0,0.0,5.33,3.33,0.0,5.67,0.0,2.0,2.0,6.0,1.67,0.0,0.0,0.0,0.0,Senegal
