players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Fruk,left wing,Gibraltar,8,90,0,0,1,0,0,32,87,55,2,1,3,4,2,2,1,4,0,0,1,1,Low,0
Majer,right wing,Gibraltar,8,90,0,0,0,1,0,44,85,71,4,3,5,5,2,4,2,6,0,0,1,1,Low,1
Ivanović,centre forward,Gibraltar,7,69,0,0,0,0,0,15,83,31,0,0,1,4,1,1,1,5,0,1,0,1,Moderate,0
L Sucić,defensive midfielder,Gibraltar,7,45,0,0,1,0,0,39,100,48,1,1,0,2,1,0,0,2,3,0,0,1,Low,0
Livaković,goal keeper,Faroe Islands,7,90,0,0,0,0,0,14,88,21,4,2,0,0,0,0,0,0,1,0,0,0,Low,0
Stanisić,centre back,Faroe Islands,8,90,0,0,0,1,0,77,93,97,4,3,2,1,0,0,0,3,2,1,2,1,Low,0
Vusković,centre back,Faroe Islands,8,90,0,0,0,0,0,74,90,98,6,3,1,1,0,0,0,6,4,1,2,2,Strong,0
Gvardiol,centre back,Faroe Islands,9,90,0,0,1,0,0,72,95,102,5,4,1,2,1,2,1,10,4,1,2,3,Strong,0
Marco Pasalić,right wingback,Faroe Islands,7,62,0,0,0,0,0,30,86,57,2,1,2,1,1,4,3,6,0,0,1,1,Low,0
Perisić,left wingback,Faroe Islands,8,71,0,0,0,1,0,26,72,51,3,2,2,1,0,2,2,4,1,0,1,1,Low,0
Modrić,defensive midfielder,Faroe Islands,8,78,0,0,0,1,0,74,94,92,8,7,3,1,0,1,1,5,1,0,2,2,Low,0
Mario Pasalić,defensive midfielder,Faroe Islands,6,45,0,0,0,0,0,32,89,41,1,1,0,0,0,0,0,2,1,0,0,1,Low,0
Kramarić,attacking midfielder,Faroe Islands,7,90,0,0,0,0,0,33,85,46,1,1,2,3,1,1,0,2,0,0,0,0,Low,1
P Sucić,attacking midfielder,Faroe Islands,8,90,0,0,0,0,0,77,91,102,5,2,2,2,0,3,1,11,0,0,1,2,Moderate,1
Musa,centre forward,Faroe Islands,8,74,0,0,1,0,0,11,85,24,0,0,1,3,1,1,0,4,1,0,0,1,Moderate,0
Vlasić,attacking midfielder,Faroe Islands,7,29,0,0,1,0,0,16,89,25,0,0,0,2,1,2,0,2,0,0,0,0,Low,0
Sutalo,centre back,Faroe Islands,7,45,0,0,0,0,0,31,94,38,2,2,0,0,0,0,0,2,1,0,1,1,Low,0
Livaković,goal keeper,Montenegro,7,90,0,0,0,0,3,22,76,35,12,6,0,0,0,0,0,0,1,0,0,0,Low,0
Sutalo,centre back,Montenegro,7,90,0,0,0,0,0,62,91,76,4,2,0,0,0,1,1,5,4,1,1,2,Moderate,0
Caleta-Car,centre back,Montenegro,5,45,0,0,0,0,0,31,89,41,3,2,0,0,0,0,0,1,2,1,1,0,Low,1
Jakić,right back,Montenegro,9,90,0,0,1,1,0,38,77,71,4,2,1,2,1,1,1,11,1,0,1,5,Moderate,0
Gvardiol,left back,Montenegro,6,45,0,0,0,0,0,38,88,51,4,2,0,0,0,1,1,3,1,0,1,2,Low,1
Moro,defensive midfielder,Montenegro,7,90,0,0,0,0,0,58,92,74,4,3,1,1,0,1,1,6,1,0,2,3,Moderate,1
Mario Pasalić,defensive midfielder,Montenegro,8,90,1,0,0,0,0,54,89,78,3,2,1,3,0,1,1,6,1,1,2,2,Low,1
Vlasić,attacking midfielder,Montenegro,8,90,0,0,1,0,0,34,77,61,3,2,3,4,3,5,3,7,0,0,1,2,Low,0
Perisić,left wing,Montenegro,8,77,0,0,1,0,0,28,82,56,3,2,2,4,2,5,3,7,1,0,1,2,Moderate,0
Ivanović,right wing,Montenegro,7,55,0,0,0,0,0,18,82,31,1,0,1,1,0,2,1,3,0,0,0,1,Low,0
Budimir,centre forward,Montenegro,6,74,0,0,0,0,0,14,78,32,0,0,1,2,1,1,0,6,1,0,0,1,Strong,0
Stanisić,right back,Montenegro,6,45,0,0,0,0,0,22,81,34,2,1,0,0,0,1,1,3,1,0,1,2,Low,0
Pongracić,centre back,Montenegro,7,45,0,0,0,0,0,33,100,38,2,2,0,0,0,0,0,3,2,1,1,2,Low,0
Musa,centre forward,Montenegro,7,31,0,0,0,1,0,6,75,15,0,0,1,2,1,1,0,2,0,0,0,0,Low,0
